"heading","first","last","file"
"Marine And Coastal Access Bill [Hl]","uk.org.publicwhip/lords/2009-06-08a.453.0","uk.org.publicwhip/lords/2009-06-08a.456.1","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2009-06-08a.xml"
"Companies (Audit, Investigations And Community Enterprise) Bill [Hl]","uk.org.publicwhip/lords/2004-07-14a.1296.0","uk.org.publicwhip/lords/2004-07-14a.1297.1","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2004-07-14a.xml"
"Riot Compensation Bill — Third Reading","uk.org.publicwhip/lords/2016-03-22a.2234.1","uk.org.publicwhip/lords/2016-03-22a.2234.4","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2016-03-22a.xml"
"Social Housing (Regulation) Bill [Hl] - Third Reading","uk.org.publicwhip/lords/2022-10-31b.21.5","uk.org.publicwhip/lords/2022-10-31b.23.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2022-10-31b.xml"
"Technical And Further Education Bill - Third Reading","uk.org.publicwhip/lords/2017-04-04b.993.3","uk.org.publicwhip/lords/2017-04-04b.997.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2017-04-04b.xml"
"Higher Education And Research Bill - Third Reading","uk.org.publicwhip/lords/2017-04-04b.1008.4","uk.org.publicwhip/lords/2017-04-04b.1012.1","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2017-04-04b.xml"
"Charities Bill [Hl] - Third Reading","uk.org.publicwhip/lords/2022-01-10a.816.1","uk.org.publicwhip/lords/2022-01-10a.818.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2022-01-10a.xml"
"Advanced Research And Invention Agency Bill - Third Reading","uk.org.publicwhip/lords/2022-01-10a.819.1","uk.org.publicwhip/lords/2022-01-10a.821.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2022-01-10a.xml"
"Budget Responsibility And National Audit Bill [Hl]","uk.org.publicwhip/lords/2011-02-07a.12.3","uk.org.publicwhip/lords/2011-02-07a.13.2","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2011-02-07a.xml"
"Genetic Technology (Precision Breeding) Bill - Third Reading","uk.org.publicwhip/lords/2023-02-01d.683.5","uk.org.publicwhip/lords/2023-02-01d.686.1","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2023-02-01d.xml"
"European Parliament (Representation) Bill","uk.org.publicwhip/lords/2003-04-07a.14.3","uk.org.publicwhip/lords/2003-04-07a.14.6","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2003-04-07a.xml"
"Northern Ireland (Stormont Agreement And Implementation Plan) Bill - Third Reading","uk.org.publicwhip/lords/2016-04-28a.1303.3","uk.org.publicwhip/lords/2016-04-28a.1306.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2016-04-28a.xml"
"Defence Reform Bill","uk.org.publicwhip/lords/2014-04-02a.967.0","uk.org.publicwhip/lords/2014-04-02a.968.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2014-04-02a.xml"
"Medicines And Medical Devices Bill - Third Reading","uk.org.publicwhip/lords/2021-01-21a.1282.1","uk.org.publicwhip/lords/2021-01-21a.1288.1","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2021-01-21a.xml"
