heading,first,last,file,leg_title,notes,already_checked
Lifelong Learning (Higher Education Fee Limits) Bill - Second Reading,uk.org.publicwhip/lords/2023-06-19a.19.2,uk.org.publicwhip/lords/2023-06-19a.61.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2023-06-19a.xml,Lifelong Learning (Higher Education Fee Limits) Act 2023,,1
Non-Domestic Rating Bill - Second Reading,uk.org.publicwhip/lords/2023-06-19a.61.1,uk.org.publicwhip/lords/2023-06-19a.86.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2023-06-19a.xml,Non-Domestic Rating Act 2023,,1
British Nationality (Regularisation Of Past Practice) Bill - Second Reading,uk.org.publicwhip/lords/2023-06-19a.86.3,uk.org.publicwhip/lords/2023-06-19a.90.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2023-06-19a.xml,British Nationality (Regularisation of Past Practice) Act 2023,,1
Voting Age (Reduction To 16) Bill [Hl],uk.org.publicwhip/lords/2003-01-09a.1108.1,uk.org.publicwhip/lords/2003-01-09a.1122.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2003-01-09a.xml,NA,,1
Public Services (Disruption) Bill [Hl],uk.org.publicwhip/lords/2003-01-09a.1165.3,uk.org.publicwhip/lords/2003-01-09a.1176.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2003-01-09a.xml,NA,,1
Road Safety Bill [Hl],uk.org.publicwhip/lords/2005-06-08b.879.1,uk.org.publicwhip/lords/2005-06-08b.928.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2005-06-08b.xml,Road Safety Act 2006,,1
Smoking In Public Places (Wales) Bill [Hl],uk.org.publicwhip/lords/2004-01-16a.769.3,uk.org.publicwhip/lords/2004-01-16a.797.2,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2004-01-16a.xml,NA,,1
Air Traffic Emissions Reduction Bill [Hl],uk.org.publicwhip/lords/2004-01-16a.797.3,uk.org.publicwhip/lords/2004-01-16a.818.3,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2004-01-16a.xml,NA,,1
Wild Mammals (Protection) (Amendment) Bill [Hl],uk.org.publicwhip/lords/2004-01-16a.818.4,uk.org.publicwhip/lords/2004-01-16a.826.1,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2004-01-16a.xml,NA,,1
Second Reading,uk.org.publicwhip/lords/2015-11-20a.383.6,uk.org.publicwhip/lords/2015-11-20a.427.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2015-11-20a.xml,Mesothelioma Act 2014,,1
Second Reading,uk.org.publicwhip/lords/2015-11-20a.427.3,uk.org.publicwhip/lords/2015-11-20a.445.2,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2015-11-20a.xml,NA,,1
Second Reading,uk.org.publicwhip/lords/2015-11-20a.449.8,uk.org.publicwhip/lords/2015-11-20a.460.1,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2015-11-20a.xml,NA,,1
Northern Ireland Budget Bill - Second Reading (And Remaining Stages),uk.org.publicwhip/lords/2019-10-31a.1007.8,uk.org.publicwhip/lords/2019-10-31a.1020.3,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2019-10-31a.xml,Northern Ireland Budget Act 2019 (repealed),,1
European Communities (Finance) Bill,uk.org.publicwhip/lords/2008-02-04b.913.1,uk.org.publicwhip/lords/2008-02-04b.934.3,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2008-02-04b.xml,European Communities (Finance) Act 2008 (repealed),,1
Financial Services And Markets Bill,uk.org.publicwhip/lords/2000-02-21a.13.4,uk.org.publicwhip/lords/2000-02-21a.94.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2000-02-21a.xml,Financial Services and Markets Act 2000,,1
Terrorism Bill,uk.org.publicwhip/lords/2005-11-21c.1384.1,uk.org.publicwhip/lords/2005-11-21c.1488.1,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2005-11-21c.xml,Terrorism Act 2006,,1
International Development (Reporting And Transparency) Bill,uk.org.publicwhip/lords/2006-06-29d.1421.1,uk.org.publicwhip/lords/2006-06-29d.1445.1,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2006-06-29d.xml,International Development (Reporting and Transparency) Act 2006,,1
