"wikidata_id","twfy_id"
"http://www.wikidata.org/entity/Q7503656","uk.org.publicwhip/cons/838"
"http://www.wikidata.org/entity/Q4861421","uk.org.publicwhip/cons/1312"
"http://www.wikidata.org/entity/Q6083907","uk.org.publicwhip/cons/1527"
"http://www.wikidata.org/entity/Q1072632","uk.org.publicwhip/cons/371"
"http://www.wikidata.org/entity/Q5566929","uk.org.publicwhip/cons/1412"
"http://www.wikidata.org/entity/Q5404811","uk.org.publicwhip/cons/1633"
"http://www.wikidata.org/entity/Q874686","uk.org.publicwhip/cons/615"
"http://www.wikidata.org/entity/Q3239188","uk.org.publicwhip/cons/128"
"http://www.wikidata.org/entity/Q1032433","uk.org.publicwhip/cons/461"
"http://www.wikidata.org/entity/Q4950266","uk.org.publicwhip/cons/1573"
"http://www.wikidata.org/entity/Q3235146","uk.org.publicwhip/cons/100"
"http://www.wikidata.org/entity/Q581697","uk.org.publicwhip/cons/6"
"http://www.wikidata.org/entity/Q5314176","uk.org.publicwhip/cons/1110"
"http://www.wikidata.org/entity/Q1052362","uk.org.publicwhip/cons/397"
"http://www.wikidata.org/entity/Q11797255","uk.org.publicwhip/cons/902"
"http://www.wikidata.org/entity/Q7369728","uk.org.publicwhip/cons/1126"
"http://www.wikidata.org/entity/Q1053141","uk.org.publicwhip/cons/632"
"http://www.wikidata.org/entity/Q42112914","uk.org.publicwhip/cons/1318"
"http://www.wikidata.org/entity/Q5313811","uk.org.publicwhip/cons/1109"
"http://www.wikidata.org/entity/Q1031958","uk.org.publicwhip/cons/479"
"http://www.wikidata.org/entity/Q7321390","uk.org.publicwhip/cons/1664"
"http://www.wikidata.org/entity/Q43291052","uk.org.publicwhip/cons/752"
"http://www.wikidata.org/entity/Q5138593","uk.org.publicwhip/cons/1694"
"http://www.wikidata.org/entity/Q5383866","uk.org.publicwhip/cons/1319"
"http://www.wikidata.org/entity/Q5025061","uk.org.publicwhip/cons/1201"
"http://www.wikidata.org/entity/Q4967590","uk.org.publicwhip/cons/873"
"http://www.wikidata.org/entity/Q875135","uk.org.publicwhip/cons/600"
"http://www.wikidata.org/entity/Q5038413","uk.org.publicwhip/cons/1660"
"http://www.wikidata.org/entity/Q7123334","uk.org.publicwhip/cons/1225"
"http://www.wikidata.org/entity/Q11797263","uk.org.publicwhip/cons/1121"
"http://www.wikidata.org/entity/Q7404384","uk.org.publicwhip/cons/1278"
"http://www.wikidata.org/entity/Q7383370","uk.org.publicwhip/cons/1698"
"http://www.wikidata.org/entity/Q7966639","uk.org.publicwhip/cons/1622"
"http://www.wikidata.org/entity/Q5566919","uk.org.publicwhip/cons/250"
"http://www.wikidata.org/entity/Q7963251","uk.org.publicwhip/cons/1620"
"http://www.wikidata.org/entity/Q42965644","uk.org.publicwhip/cons/1255"
"http://www.wikidata.org/entity/Q5604345","uk.org.publicwhip/cons/1085"
"http://www.wikidata.org/entity/Q43291340","uk.org.publicwhip/cons/1606"
"http://www.wikidata.org/entity/Q7828461","uk.org.publicwhip/cons/1619"
"http://www.wikidata.org/entity/Q4672871","uk.org.publicwhip/cons/1329"
"http://www.wikidata.org/entity/Q42890987","uk.org.publicwhip/cons/935"
"http://www.wikidata.org/entity/Q1077506","uk.org.publicwhip/cons/315"
"http://www.wikidata.org/entity/Q3302305","uk.org.publicwhip/cons/293"
"http://www.wikidata.org/entity/Q16992011","uk.org.publicwhip/cons/1594"
"http://www.wikidata.org/entity/Q11797285","uk.org.publicwhip/cons/943"
"http://www.wikidata.org/entity/Q5256607","uk.org.publicwhip/cons/1669"
"http://www.wikidata.org/entity/Q988081","uk.org.publicwhip/cons/569"
"http://www.wikidata.org/entity/Q42965738","uk.org.publicwhip/cons/790"
"http://www.wikidata.org/entity/Q43287505","uk.org.publicwhip/cons/782"
"http://www.wikidata.org/entity/Q5444374","uk.org.publicwhip/cons/1706"
"http://www.wikidata.org/entity/Q5713603","uk.org.publicwhip/cons/1584"
"http://www.wikidata.org/entity/Q7571165","uk.org.publicwhip/cons/1548"
"http://www.wikidata.org/entity/Q5129880","uk.org.publicwhip/cons/1638"
"http://www.wikidata.org/entity/Q751580","uk.org.publicwhip/cons/36"
"http://www.wikidata.org/entity/Q1050931","uk.org.publicwhip/cons/444"
"http://www.wikidata.org/entity/Q4954728","uk.org.publicwhip/cons/75"
