speaker,person_id,wikidata,name2use
uk.org.publicwhip/lord/101180,uk.org.publicwhip/person/25199,Q15711458,Fiona Ferelith Hodgson
uk.org.publicwhip/lord/101173,uk.org.publicwhip/person/25194,Q15712833,Catherine Mary Bakewell
uk.org.publicwhip/lord/101192,uk.org.publicwhip/person/25212,Q15720639,Alicia Pamela Kennedy
uk.org.publicwhip/lord/101193,uk.org.publicwhip/person/25213,Q15720642,Susan Frances Maria Williams
uk.org.publicwhip/lord/100440,uk.org.publicwhip/person/13043,Q1572471,John Moran
uk.org.publicwhip/lord/101178,uk.org.publicwhip/person/25198,Q15782434,Alison Mary Suttie
uk.org.publicwhip/lord/100632,uk.org.publicwhip/person/12976,Q1579115,Bill Tenby
uk.org.publicwhip/lord/100238,uk.org.publicwhip/person/13069,Q15805300,Derek Gladwin
uk.org.publicwhip/lord/101176,uk.org.publicwhip/person/25196,Q15816058,Howard Darryl Leigh
uk.org.publicwhip/lord/100741,uk.org.publicwhip/person/13091,Q15820422,Irwin Bellwin
uk.org.publicwhip/lord/101186,uk.org.publicwhip/person/25205,Q15832853,Lucy Jeanne Neville-Rolfe
uk.org.publicwhip/lord/100662,uk.org.publicwhip/person/13116,Q1585945,Harold Walker
uk.org.publicwhip/lord/100698,uk.org.publicwhip/person/13615,Q1586895,Harry Woolf
uk.org.publicwhip/lord/100683,uk.org.publicwhip/person/12956,Q1590405,Richard Wilberforce
uk.org.publicwhip/lord/100535,uk.org.publicwhip/person/13280,Q1590531,Robin Renwick
uk.org.publicwhip/lord/100098,uk.org.publicwhip/person/13458,Q1592062,Hazel Byford
uk.org.publicwhip/lord/100357,uk.org.publicwhip/person/13215,Q1593125,Hector Laing
uk.org.publicwhip/lord/100403,uk.org.publicwhip/person/13124,Q1593135,Hector MacKenzie
uk.org.publicwhip/lord/100680,uk.org.publicwhip/person/12957,Q1600687,Janet Whitaker
uk.org.publicwhip/lord/101052,uk.org.publicwhip/person/24997,Q1601858,Helen Margaret Newlove
uk.org.publicwhip/lord/100122,uk.org.publicwhip/person/13252,Q1606594,Amos Chilver
uk.org.publicwhip/lord/100359,uk.org.publicwhip/person/13668,Q1608707,William Laming
uk.org.publicwhip/lord/100476,uk.org.publicwhip/person/13163,Q1610320,Herman Ouseley
uk.org.publicwhip/lord/100017,uk.org.publicwhip/person/13106,Q1617771,Peter Archer
uk.org.publicwhip/lord/101019,uk.org.publicwhip/person/24980,Q1618377,John Eric Gardiner
