person_id,speaker,person,personLabel
uk.org.publicwhip/person/26045,NA,http://www.wikidata.org/entity/Q2177593,Ruth Davidson
uk.org.publicwhip/person/26046,NA,http://www.wikidata.org/entity/Q75309911,"Jasset Ormsby-Gore, 7th Baron Harlech"
uk.org.publicwhip/person/26047,NA,http://www.wikidata.org/entity/Q7341647,Robert Atwell
uk.org.publicwhip/person/26048,NA,http://www.wikidata.org/entity/Q7149273,Paul Bayes
uk.org.publicwhip/person/26052,NA,http://www.wikidata.org/entity/Q107280370,Malcolm Offord
uk.org.publicwhip/person/26054,NA,http://www.wikidata.org/entity/Q5234591,"David Hacking, 3rd Baron Hacking"
uk.org.publicwhip/person/26057,NA,http://www.wikidata.org/entity/Q4758863,Andrew Watson
uk.org.publicwhip/person/26058,NA,http://www.wikidata.org/entity/Q18589232,Martin Seeley
uk.org.publicwhip/person/26060,NA,http://www.wikidata.org/entity/Q5982170,"Ian Macpherson, 3rd Baron Strathcarron"
uk.org.publicwhip/person/26062,NA,http://www.wikidata.org/entity/Q75538109,"Jonathan Berry, 5th Viscount Camrose"
uk.org.publicwhip/person/26063,NA,http://www.wikidata.org/entity/Q14948624,Paul Williams
uk.org.publicwhip/person/26065,NA,http://www.wikidata.org/entity/Q43274,Charles III of the United Kingdom
uk.org.publicwhip/person/26084,NA,http://www.wikidata.org/entity/Q105071473,"Christopher Bellamy, Baron Bellamy"
uk.org.publicwhip/person/26087,NA,http://www.wikidata.org/entity/Q112080082,"Shaista Gohir, Baroness Gohir"
uk.org.publicwhip/person/26088,NA,http://www.wikidata.org/entity/Q15994834,"Kathy Willis, Baroness Willis of Summertown"
uk.org.publicwhip/person/26089,NA,http://www.wikidata.org/entity/Q75576111,"Philip Remnant, 4th Baron Remnant"
uk.org.publicwhip/person/26090,NA,http://www.wikidata.org/entity/Q1101395,"Clifton Wrottesley, 6th Baron Wrottesley"
uk.org.publicwhip/person/26092,NA,http://www.wikidata.org/entity/Q6777680,Martyn Snow
uk.org.publicwhip/person/26093,NA,http://www.wikidata.org/entity/Q16204489,"Nick Markham, Baron Markham"
uk.org.publicwhip/person/26094,NA,http://www.wikidata.org/entity/Q75621365,"Dominic Johnson, Baron Johnson of Lainston"
