person_id,family_name,given_name,item
uk.org.publicwhip/person/19479,Wellwood,William,http://www.wikidata.org/entity/Q8020180
uk.org.publicwhip/person/22247,Wells,William,http://www.wikidata.org/entity/Q8020170
uk.org.publicwhip/person/19444,Warbey,William,http://www.wikidata.org/entity/Q8019992
uk.org.publicwhip/person/14189,Adams,William,http://www.wikidata.org/entity/Q8019296
uk.org.publicwhip/person/19271,Teeling,Luke,http://www.wikidata.org/entity/Q8019226
uk.org.publicwhip/person/19214,Stones,William,http://www.wikidata.org/entity/Q8018874
uk.org.publicwhip/person/19199,Steward,William,http://www.wikidata.org/entity/Q8018817
uk.org.publicwhip/person/22711,Small,William,http://www.wikidata.org/entity/Q8018514
uk.org.publicwhip/person/22573,Shepherd,William,http://www.wikidata.org/entity/Q8018368
uk.org.publicwhip/person/16985,Cluse,William,http://www.wikidata.org/entity/Q8018074
uk.org.publicwhip/person/18959,Roots,William,http://www.wikidata.org/entity/Q8017751
uk.org.publicwhip/person/18941,Robson-Brown,William,http://www.wikidata.org/entity/Q8017706
uk.org.publicwhip/person/22239,Robinson,William,http://www.wikidata.org/entity/Q8017685
uk.org.publicwhip/person/22241,Williams,William,http://www.wikidata.org/entity/Q8017532
uk.org.publicwhip/person/22216,Reid,William,http://www.wikidata.org/entity/Q8017465
uk.org.publicwhip/person/22571,Milligan,William,http://www.wikidata.org/entity/Q8017371
uk.org.publicwhip/person/18824,Proctor,William,http://www.wikidata.org/entity/Q8017109
uk.org.publicwhip/person/22225,Price,William,http://www.wikidata.org/entity/Q8017075
uk.org.publicwhip/person/22625,Powell,William,http://www.wikidata.org/entity/Q8017032
uk.org.publicwhip/person/18697,Paling,William,http://www.wikidata.org/entity/Q8016544
uk.org.publicwhip/person/18665,Oldfield,William,http://www.wikidata.org/entity/Q8016326
uk.org.publicwhip/person/21635,Churchill,Winston,http://www.wikidata.org/entity/Q8016
uk.org.publicwhip/person/22238,Watson,William,http://www.wikidata.org/entity/Q8015488
uk.org.publicwhip/person/18408,McKelvey,William,http://www.wikidata.org/entity/Q8015454
uk.org.publicwhip/person/18368,McAdam,William,http://www.wikidata.org/entity/Q8015292
uk.org.publicwhip/person/18300,Mainwaring,William,http://www.wikidata.org/entity/Q8015052
uk.org.publicwhip/person/18108,Leonard,William,http://www.wikidata.org/entity/Q8014489
uk.org.publicwhip/person/18014,Kingsmill,William,http://www.wikidata.org/entity/Q8014028
uk.org.publicwhip/person/17966,Keenan,William,http://www.wikidata.org/entity/Q8013880
uk.org.publicwhip/person/17614,Gruffydd,William,http://www.wikidata.org/entity/Q8013623
uk.org.publicwhip/person/22230,Field,William,http://www.wikidata.org/entity/Q8013215
uk.org.publicwhip/person/17909,Irving,William,http://www.wikidata.org/entity/Q8013100
uk.org.publicwhip/person/17821,Homewood,William,http://www.wikidata.org/entity/Q8012464
uk.org.publicwhip/person/17785,Hilton,William,http://www.wikidata.org/entity/Q8012348
